code,author,sample_id
"int LongestConsecutive(int arr[],int size , int element){
    int max_consec = 0;
    int count = 0;
    int i;
    int ahead , current;
    
    for(i = 0; i < size ; i++){

        ahead = arr[i+1];
        current = arr[i];

        
        if(arr[i] == element){
            count++;

            
            if(count > max_consec){
                max_consec = count;
            }
        }

        
        if( ahead != current){
            count = 0;
        }
    }

    return max_consec;
}


int main(void){
    setvbuf(stdout , NULL , _IONBF , 0);
    setvbuf(stderr , NULL , _IONBF , 0);

    int size = 15;
    int arr[size];
    int maximum , element;
    int i;

    printf(""Enter array elements: "");

    
    for(i=0 ; i<size ; i++){
        scanf(""%d"",&arr[i]);
    }

    printf(""\n"");
    printf(""Enter required element: "");

    
    scanf(""%d"",&element);

    
    maximum = LongestConsecutive(arr , size , element);

    
    printf(""Longest consecutive number of element %d is %d"",element ,maximum);

    return 0;
}
",0,1
"#define CHECK_LOWER_FALSE   0
#define CHECK_LOWER_TRUE    1

int test_case = CHECK_LOWER_TRUE;                               


char lower_to_upper(char alphabet){
    if( alphabet >= 'a' && alphabet <= 'z' ){
        alphabet = alphabet - 32;                                   
    }
    else{
        test_case = CHECK_LOWER_FALSE;
    }
    return alphabet;
}

int main(void){
    setvbuf(stdout , NULL , _IONBF , 0);                            
    setvbuf(stderr , NULL , _IONBF , 0);
    char alphabet;                                                  
    char uppercase;                                                 
    printf(""Please enter a lowercase letter: "");
    scanf(""%c"",&alphabet);                                          
    uppercase = lower_to_upper(alphabet);                           
    if( test_case == CHECK_LOWER_TRUE ){
    printf(""Uppercase letter %c of corresponding Lowercase letter %c "",uppercase,alphabet);
       }
    else {
        printf(""Invalid input, please enter a lowercase letter "");
    }
    return 0;
}
",0,2
"int main(void){
    setvbuf(stdout , NULL , _IONBF , 0);                        
    setvbuf(stderr , NULL , _IONBF , 0);

    int i,j,rows;

        printf(""Enter number of rows: "");
        scanf(""%d"",&rows);
        printf(""\n"");

        for(i=0;i<rows;i++)
        {
            if(i == rows/2){
                continue;
            }
            for(j=0;j<rows;j++)
            {
                if(j == rows/2){
                    continue;
                }
                if( (j==i) || (j==rows-i-1) )
                {
                    printf(""*"");
                }
                else
                {
                    printf("" "");
                }
            }
            printf(""\n"");
        }
        return 0;

}
",0,3
"double E = 0.000001;

double pierwiastek(double p, double E)
{
    double a = 1, b = p;

    while (fabs(a - b) >= E)
    {
        a = (a + b) / 2;
        b = p / a;
    }

    return a;
}

int main()
{
    double x, y;

    printf(""Podaj liczbe, z ktorej chcesz wyznaczyc pierwiastek: "");
    scanf(""%2lf"", &x);

    y = pierwiastek(x, E);

    printf(""Pierwiastek = %.3lf"", y);

    return 0;
}",1,4
"struct node
{
    int data;
    struct node *next;
}*first;

void create(int A[], int n)
{
    struct node *t, *last;
    first = (struct node*)malloc(sizeof(struct node));
    first->data = A[0];
    first->next = NULL;
    last = first;

    for(int i = 1 ; i < n ; i++)
    {
        t = (struct node*)malloc(sizeof(struct node));
        t->data = A[i];
        t->next = NULL;
        last->next = t;
        last = t;
    }
}

void display(struct node *p)
{
    while(p)
    {
        printf(""%d "", p->data);
        p = p->next;
    }
    printf(""\n"");
}

void reverse_m(struct node *p, int m)
{
    int counter = 0;
    struct node *q = NULL;
    struct node *r = NULL;

    
    while(counter < m)
    {
        r = q;
        q = p;
        p = p->next;
        q->next = r;
        counter++;
    }
    first = q;
    
    

    
    while(q->next != NULL)
    {
        q = q->next;
    }
    q->next = p;
}

int main()
{
    int n, m;
    printf(""Number of elements : "");
    scanf(""%d"", &n);
    int A[n];
    printf(""Enter elements : "");
    for(int i = 0 ; i < n ; i++)
        scanf(""%d"", &A[i]);

    create(A, n);
    printf(""Enter value of m : "");
    scanf(""%d"", &m);
    reverse_m(first, m);
    display(first);

}",2,5
"int main()
{
    int m, n;
    printf(""Enter number of rows (m) : "");
    scanf(""%d"", &m);
    printf(""Enter number of columns (n) : "");
    scanf(""%d"", &n);
    int **mat;
    mat = (int**)malloc(m*sizeof(int*));
    for(int i = 0 ; i < n ; i++)
    {
        mat[i] = malloc(n*sizeof(int));
    }

    for(int i = 0 ; i < m ; i++)
    {
        for(int j = 0 ; j < n ; j++)
        {
            printf(""Enter element at row %d, column %d : "", i, j);
            scanf(""%d"", &mat[i][j]);
        }
    }
    printf(""Before swapping : \n"");
    for(int i = 0 ; i < m ; i++)
    {
        for(int j = 0 ; j < n ; j++)
        {
            printf(""%d "", mat[i][j]);
        }
        printf(""\n"");
    }

    int f = 0;
    int l = n - 1;
    int temp;
    while(f < l)
    {
        for(int i = 0; i < m ; i++)
        {
            temp = mat[i][f];
            mat[i][f] = mat[i][l];
            mat[i][l] = temp;
        }
        f++;
        l--;
    }

    printf(""After Swapping : \n"");
    for(int i = 0 ; i < m ; i++)
    {
        for(int j = 0 ; j < n ; j++)
        {
            printf(""%d "", mat[i][j]);
        }
        printf(""\n"");
    }


}",2,6
"struct node
{
    int data;
    struct node* next;
}*first;

void create(int A[], int n)
{
    struct node *last, *t;
    int i;
    first = (struct node*)malloc(sizeof(struct node));
    first->data = A[0];
    first->next = NULL;
    last = first;

    for(i = 1 ; i < n ; i++)
    {
        t = (struct node*)malloc(sizeof(struct node));
        t->data = A[i];
        t->next = NULL;
        last->next = t;
        last = t;
    }
}

void display(struct node *p)
{
    while(p)
    {
        printf(""%d "", p->data);
        p = p->next;
    }
    printf(""\n"");
}

void check_empty(struct node *p)
{
    if(!p)
    {
        printf(""\nList is empty\n"");
    }
    else
    {
        printf(""\nList is not empty\n"");
    }
}

int length(struct node *p)
{
    int len = 0;
    while(p)
    {
        len++;
        p = p->next;
    }
    return len;
}

void insert(struct node *p, int index, int x)
{
    if(index < 0 || index > length(first))
    {
        printf(""\nInvalid index\n"");
        return;
    }
    struct node *t = (struct node*)malloc(sizeof(struct node));
    t->data = x;

    if(index == 0)
    {
        t->next = first;
        first = t;
    }
    else
    {
        for(int i = 0; i < index - 1 ; i++)
            p = p->next;
        t->next = p->next;
        p->next = t;
    }
}

int delete_index(struct node *p, int index)
{
    if(index < 0 || index > length(first))
    {
        printf(""\nInvalid index\n"");
        return -1;
    }

    struct node *q = p;
    int x = 0;

    if(index == 1)
    {
        q = first;
        x = first->data;
        first = first->next;
        free(q);
        return x;
    }
    else
    {
        for(int i = 0 ; i < index - 1; i++)
        {
            q = p;
            p = p->next;
        }
        q->next = p->next;
        x = p->data;
        free(p);
        return x;
    }
}

int delete_key(struct node *p, int key)
{
    int index = 1;
    struct node *q = NULL;

    if(first->data == key)
    {
        q = first;
        if(first->next != NULL)
            first = first->next;
        else
            first = NULL;
        free (q);
        return index;

    }
    else
    {
        while(p->data != key)
        {
            q = p;
            p = p->next;
            index++;
            if(p->next ==NULL && p->data != key)
            {
                printf(""\nKey is not present in list\n"");
                return -1;
            }
        }
        q->next = p->next;
        free(p);
        return index;
    }
}

int search(struct node *p, int key)
{
    int index = 1;
    while(p)
    {
        if(key == p->data)
        {
            return index;
        }
        else
        {
            p = p->next;
            index++;
        }
    }
    return 0;
}

int main()
{
    int n,choice, index, x, key, len;
    printf(""Enter number of elements : "");
    scanf(""%d"", &n);

    int A[n];
    printf(""Enter elements : "");
    for(int i = 0 ; i < n ; i++)
        scanf(""%d"", &A[i]);

    create(A, n);
    do
    {
        printf(""\n\n1 : Traversal of the list\n2 : Check if the list is empty\n"");
        printf(""3 : Insert a node at the certain position\n4 : Delete a node at the certain position\n"");
        printf(""5 : Delete a node for the given key\n6 : Count the total number of nodes\n"");
        printf(""7 : Search for an element in the linked list\n8: EXIT\n"");
        printf(""\nEnter Choice : "");
        scanf(""%d"", &choice);

        switch(choice)
        {
            case 1 :
                display(first);
                break;

            case 2 :
                check_empty(first);
                break;

            case 3 :
                printf(""\nEnter position (0 for after zero nodes, 1 for after 1 node and so on..) : "");
                scanf(""%d"", &index);
                printf(""Enter data : "");
                scanf(""%d"", &x);
                insert(first, index, x);
                printf(""New list : "");
                display(first);
                break;

            case 4 :
                printf(""\nEnter position (1 for 1st node, 2 for 2nd node and so on..): "");
                scanf(""%d"", &index);
                x = delete_index(first, index);
                printf(""Data deleted at position %d : %d\n"", index, x);
                printf(""New list : "");
                display(first);
                break;

            case 5 :
                printf(""\nEnter key : "");
                scanf(""%d"", &key);
                index = delete_key(first, key);
                if(index != -1)
                {
                    printf(""% deleted at position : %d\n"", key, index);
                    printf(""New list : "");
                    display(first);
                }
                break;

            case 6 :
                len = length(first);
                printf(""\nNumber of nodes : %d\n"", len);
                break;

            case 7 :
                printf(""\nEnter key : "");
                scanf(""%d"", &key);
                index = search(first, key);
                if(index != -1)
                {
                    printf(""Element is present at position %d\n"", index);
                }
                break;
        }
    }while(choice != 8);
}",2,7
"void swap(int *x, int *y)
{
    int temp = *x;
    *x = *y;
    *y = temp;
}
void rearrange(int *arr, int n)
{
    int i = 0, j = n-1;
    while (i < j)
    {
        while (arr[i]%2 == 0 && i < j)
            i++;

        while (arr[j]%2 == 1 && i< j)
            j--;

        if (i < j)
        {
            swap(&arr[i], &arr[j]);
            i++;
            j--;
        }
    }
}

int main()
{
    int *arr;
    int n;
    printf(""Enter number of elements : "");
    scanf(""%d"", &n);
    arr = (int*)malloc(n*sizeof(int));

    for(int l = 0 ; l < n ; l++)
    {
        printf(""Enter element no %d :"", l+1);
        scanf(""%d"", arr + l);
    }

    rearrange(arr, n);
    printf(""Rearranged array : \n"");
    for(int m = 0 ; m < n ; m++)
    {
        printf(""%d"", *(arr + m));
    }
    printf(""\n"");
}",2,8
"#define KETA 10

struct NUMBER{
    int n[KETA]; 
    int sign; 
};

void clearByZero(struct NUMBER *);
void dispNumber(struct NUMBER *);
void setRnd(struct NUMBER *, int);
void copyNumber(struct NUMBER *, struct NUMBER *);
void getAbs(struct NUMBER *, struct NUMBER *);
int isZero(struct NUMBER *);
int mulBy10(struct NUMBER *, struct NUMBER *);
int divBy10(struct NUMBER *, struct NUMBER *);

int main(int argc, char **argv)
{
    struct NUMBER a;
    struct NUMBER b, c, d;

    srandom(time(NULL));

    clearByZero(&a);
    clearByZero(&b);
    clearByZero(&c);
    clearByZero(&d);

    printf(""a = "");
    dispNumber(&a);
    printf(""\n"");
    printf(""b = "");
    dispNumber(&b);
    printf(""\n"");
    printf(""c = "");
    dispNumber(&c);
    printf(""\n"");
    printf(""d = "");
    dispNumber(&d);
    printf(""\n"");

    setRnd(&a, 3);

    printf(""a = "");
    dispNumber(&a);
    printf(""\n"");


    printf(""ãã¾ã=%d\n"", divBy10(&a, &b));

    printf(""b = "");
    dispNumber(&b);
    printf(""\n"");

    printf(""ãã¾ã=%d\n"", divBy10(&b, &c));

    printf(""c = "");
    dispNumber(&c);
    printf(""\n"");

    printf(""ãã¾ã=%d\n"", divBy10(&c, &d));

    printf(""d = "");
    dispNumber(&d);
    printf(""\n"");

    return 0;
}


void clearByZero(struct NUMBER *a){
    int i;

    for (i = 0; i < KETA;i++){
        a->n[i] = 0;
    }

    a->sign = 1;
}


void dispNumber(struct NUMBER *a){
    int i;

    if(a->sign == 1){
        printf(""+"");
    } else {
        printf(""-"");
    }

    for (i = KETA - 1; i >= 0;i--){
        printf(""%2d"", a->n[i]);
    }
}


void setRnd(struct NUMBER *a, int k){
    int i;
    int judge;

    for (i = 0; i < k;i++){
        a->n[i] = random() % 10; 
    }

    judge = random() % 2; 

    switch (judge) {
        case 1:
            a->sign = 1;
            break;
        case 0:
            a->sign = -1;
            break;
    }
}


void copyNumber(struct NUMBER *a, struct NUMBER *b){
    int i;

    b->sign = a->sign;

    for (i = 0; i < KETA;i++){
        b->n[i] = a->n[i];
    }
}


void getAbs(struct NUMBER *a, struct NUMBER *b){
    copyNumber(a, b);
    b->sign = 1;
}


int isZero(struct NUMBER *a){
    int i;

    for (i = 0; i < KETA;i++){
        if(a->n[i] != 0){
            return -1;
        }
    }

    return 0;
}


int mulBy10(struct NUMBER *a, struct NUMBER *b){
    int i;

    
    if(a->n[KETA - 1] != 0){
        return -1;
    }

    for (i = KETA - 2; i >= 0;i--){
        b->n[i + 1] = a->n[i];
    }

    b->n[0] = 0;

    return 0;
}


int divBy10(struct NUMBER *a, struct NUMBER *b){
    int i;
    int remainder; 

    b->sign = a->sign; 

    remainder = a->sign * a->n[0]; 

    for (i = 1; i <= KETA - 2;i++){
        b->n[i - 1] = a->n[i];
    }

    b->n[KETA -1] = 0;

    return remainder;
}",3,9
"#include ""mulprec.h""

int sqrt_newton(struct NUMBER *, struct NUMBER *);

int main(int argc, char **argv)
{
    struct NUMBER r1, ans, tmp;
    int i, j, r;
    double r2;

    srandom(time(NULL));

    for (i = 0; i < 10;i++){
        r = random();
        setInt(&r1, r);
        for (j = 0; j < 10;j++){
            mulBy10(&r1, &tmp);
            copyNumber(&tmp, &r1);
        }
        sqrt_newton(&r1, &ans);
        printf(""r1:"");
        dispNumberZeroSuppress(&ans);
        puts("""");
        r2 = sqrt((double)r);
        printf(""r2:%f\n"", r2);
    }

    return 0;
}


int sqrt_newton(struct NUMBER *a, struct NUMBER *b) {
    struct NUMBER x, ox, tx, zero, one, two, quotient, sum, rest; 
    clearByZero(b);
    setInt(&zero, 0);
    setInt(&one, 1);
    setInt(&two, 2);

    quickDivide(a, &two, &x, &rest);
    if(isZero(&x) != -1 || numComp(&x, &one) == 0){ 
        copyNumber(a, b);
        return 0;
    }
    if (numComp(&x, &zero) == -1){ 
        return -1;
    }

    copyNumber(&x, &ox);
    

    while(1){
        copyNumber(&ox, &tx);
        copyNumber(&x, &ox);
        quickDivide(a, &ox, &quotient, &rest);
        add(&ox, &quotient, &sum);
        quickDivide(&sum, &two, &x, &rest);

        if(numComp(&x, &ox) == 0){ 
            break;
        }
        if(numComp(&x, &tx) == 0){ 
            if(numComp(&ox, &x) == -1){ 
                copyNumber(&ox, &x);
            }
            break;
        }
        
    }

    copyNumber(&x, b);
    return 0;
}",3,10
