code,author
"#pragma comment(linker, ""/STACK:256000000"")

void readData() {}

int n, r, o, y, g, b, v;

string solve(int r, int y, int b) {
  int a[3] = {r, y, b};
  string t = ""RYB"";

  for (int i = 0; i < 3; ++i) {
    for (int j = i + 1; j < 3; ++j) {
      if (a[j] > a[i]) {
        swap(a[j], a[i]);
        swap(t[j], t[i]);
      }
    }
  }

  string res(n, ' ');
  for (int i = 0; i < n; i += 2) {
    for (int j = 0; j < 3; ++j) {
      if (a[j] > 0) {
        res[i] = t[j];
        --a[j];
        break;
      }
    }
  }
  for (int i = 1; i < n; i += 2) {
    for (int j = 0; j < 3; ++j) {
      if (a[j] > 0) {
        res[i] = t[j];
        --a[j];
        break;
      }
    }
  }

  bool ok = true;
  for (int i = 1; i < n; ++i) {
    if (res[i] == res[i - 1] || (n > 1 && res[0] == res[n - 1])) {
      ok = false;
    }
  }

  if (!ok) {
    cerr << ""BAD"" << endl;
  }

  return res;
}

void solve(int test) {
  cin >> n >> r >> o >> y >> g >> b >> v;
  if (2 * r > n || 2 * y > n || 2 * b > n) {
    printf(""Case #%d: IMPOSSIBLE\n"", test);
    return;
  }
  if (r + y + b != n) {
    printf(""Case #%d: IMPOSSIBLE\n"", test);
    return;
  }

  printf(""Case #%d: %s\n"", test, solve(r, y, b).c_str());
}

int main(int argc, char *argv[]) {
  freopen(""input.txt"", ""r"", stdin);
  freopen(""output.txt"", ""w"", stdout);

  int left_bound, right_bound;

  /*freopen(argv[3], ""w"", stdout);
  sscanf(argv[1], ""%d"", &left_bound);
  sscanf(argv[2], ""%d"", &right_bound);*/

  int t;
  cin >> t;
  left_bound = 1, right_bound = t;
  for (int i = 1; i <= t; ++i) {
    if (i >= left_bound && i <= right_bound) {
      solve(i);
    } else {
      readData();
    }
    cerr << i << "": "" << clock() << endl;
  }

  return 0;
}
",9
"const int inf = 1e8;
const int N = 77;

bool check_90(long long have, long long need) {
  return have * 100 >= 90 * need;
}

bool check_110(long long have, long long need) {
  return have * 100 <= 110 * need;
}

int get_l(int have, int need) {
  int l = 0, r = inf;
  while (r - l > 1) {
    int s = (l + r) / 2;
    if (check_90(have, 1LL * need * s)) {
      l = s;
    } else {
      r = s;
    }
  }
  return l;
}

int get_r(int have, int need) {
  int l = 0, r = inf;
  while (r - l > 1) {
    int s = (l + r) / 2;
    if (check_110(have, 1LL * need * s)) {
      r = s;
    } else {
      l = s;
    }
  }
  return r;
}

int need[N];
int have[N][N];
int p[N];

int main() {
  freopen(""in"", ""r"", stdin);
  freopen(""out"", ""w"", stdout);
  int tt;
  scanf(""%d"", &tt);
  for (int cc = 1; cc <= tt; ++cc) {
    double begt = clock();
    printf(""Case #%d: "", cc);
    int n, m;
    scanf(""%d %d"", &n, &m);
    for (int i = 0; i < n; ++i) {
      scanf(""%d"", need + i);
    }
    for (int i = 0; i < n; ++i) {
      for (int j = 0; j < m; ++j) {
        scanf(""%d"", have[i] + j);
      }
    }
    if (n == 1) {
      int ans = 0;
      for (int i = 0; i < m; ++i) {
        int l = get_l(have[0][i], need[0]);
        int r = get_r(have[0][i], need[0]);
        swap(l, r);
        if (l <= r) {
          ++ans;
        }
      }
      printf(""%d\n"", ans);
      continue;
    }
    for (int i = 0; i < m; ++i) {
      p[i] = i;
    }
    int ans = 0;
    do {
      int cur = 0;
      for (int i = 0; i < m; ++i) {
        int l0 = get_l(have[0][i], need[0]);
        int r0 = get_r(have[0][i], need[0]);
        swap(l0, r0);
        if (l0 > r0) {
          continue;
        }
        int l1 = get_l(have[1][p[i]], need[1]);
        int r1 = get_r(have[1][p[i]], need[1]);
        swap(l1, r1);
        if (l1 > r1) {
          continue;
        }
        int l = max(l0, l1);
        int r = min(r0, r1);
        if (l <= r) {
          ++cur;
        }
      }
      ans = max(ans, cur);
    } while (next_permutation(p, p + m));
    printf(""%d\n"", ans);
    fprintf(stderr, ""case %d solved in %.3f\n"", cc,
            (clock() - begt) / CLOCKS_PER_SEC);
  }
}
",29
"typedef pair<int, int> par;
typedef long long int tint;
map<char, char> inv;

bool is_tidy(string s) {
  int l = s.size();
  char cur = s[0];

  for (int i = (1); i < (l); i++) {
    if (cur > s[i])
      return (false);
    cur = s[i];
  }

  return (true);
}

int main() {
  freopen(""test.txt"", ""r"", stdin);
  freopen(""out.txt"", ""w"", stdout);

  int t, l;
  cin >> t;
  string n;

  for (int caso = (1); caso < (t + 1); caso++) {
    cin >> n;
    l = n.size();
    vector<string> cnd;
    if (is_tidy(n))
      cnd.push_back(n);
    string acum = """";
    for (int i = 0; i < (l); i++) {
      char c = (char)(n[i] - 1);
      string aux = acum + c;
      for (int j = (i + 1); j < (l); j++)
        aux += '9';
      if (is_tidy(aux))
        cnd.push_back(aux);
      acum += n[i];
    }

    sort(cnd.begin(), cnd.end());
    int u = cnd.size() - 1;
    int j = 0;
    while (cnd[u][j] == '0')
      j++;
    string ans = """";
    for (int k = (j); k < (cnd[u].size()); k++)
      ans += cnd[u][k];

    cout << ""Case #"" << caso << "": "" << ans << endl;
  }

  return 0;
}
",37
"//
//  main.cpp
//  ProblemB
//
//  Created by Tung Nguyen on 4/22/17.
//
//

char chars[] = {'R', 'O', 'Y', 'G', 'B', 'V'};
int nums[6];
int N;

bool possible;
char result[1001];

bool can_match(int i, int j) {
  if (abs(i - j) <= 1 || abs(i - j) == 5) {
    return false;
  }
  return true;
}

int get_max(int idx, int i0) {
  int r = -1;
  int r_m = 0;
  for (int i = 0; i < 6; i++) {
    if ((idx == -1 || can_match(idx, i)) && nums[i] > 0) {
      int i_m = 0;
      for (int j = 0; j < 6; j++) {
        if (!can_match(i, j)) {
          i_m += nums[j];
        }
      }

      if (r_m < i_m) {
        r = i;
        r_m = i_m;
      } else if (r_m == i_m && i0 != -1) {
        if (!can_match(i0, i)) {
          r = i;
        }
      }
    }
  }
  return r;
}

void solve() {
  int idx = -1;
  int first = -1;
  int last = -1;
  possible = true;
  for (int i = 0; i < N; i++) {
    idx = get_max(idx, first);
    if (idx == -1) {
      possible = false;
      break;
    }
    if (i == 0) {
      first = idx;
    }
    if (i == N - 1) {
      last = idx;
    }
    result[i] = chars[idx];
    nums[idx]--;
  }
  result[N] = 0;
  if (possible) {
    if (!can_match(first, last)) {
      possible = false;
    }
  }
}

int main(int argc, const char *argv[]) {
  ifstream fin(""B-small-attempt0.in.txt"");
  ofstream fout(""B-small-attempt0.out.txt"");

  int T;
  fin >> T;
  for (int Case = 1; Case <= T; Case++) {
    fin >> N >> nums[0] >> nums[1] >> nums[2] >> nums[3] >> nums[4] >> nums[5];
    solve();
    fout << ""Case #"" << Case << "": "";
    if (possible) {
      fout << result;
    } else {
      fout << ""IMPOSSIBLE"";
    }
    fout << endl;
  }

  fin.close();
  fout.close();
  return 0;
}
",39
"typedef long long LL;
typedef long double LD;

int cond = 1;

int solve() {
  int r, c;
  cin >> r >> c;
  vector<string> res;
  for (int i = 0; i < r; ++i) {
    string row;
    cin >> row;
    bool empty = true;
    char first = '?';
    for (int j = 0; j < c; ++j) {
      if (row[j] != '?') {
        empty = false;
        first = row[j];
        break;
      }
    }
    if (!empty) {
      string s(c, '?');
      for (int j = 0; j < c; ++j) {
        if (row[j] == first || row[j] == '?') {
          s[j] = first;
        } else {
          first = row[j];
          s[j] = first;
        }
      }
      while (res.size() < i + 1) {
        res.push_back(s);
      }
    } else {
      if (res.size() > 0) {
        res.push_back(res[res.size() - 1]);
      }
    }
  }
  for (int i = 0; i < r; ++i) {
    cout << res[i] << endl;
  }
  return 0;
}

int main() {
  int t;
  cin >> t;
  for (int x = 1; x <= t; ++x) {
    cout << ""Case #"" << x << "": "" << endl;
    solve(); // result
  }
  return 0;
}
",41
"typedef long long int lli;

int tc;

lli ctdy(string input) {
  lli dp[18][2][10];
  memset(dp, 0, sizeof(dp));
  for (int i = '0'; i <= input[0]; i++) {
    if (i != input[0]) {
      dp[0][0][i - '0'] = 1;
    } else {
      dp[0][1][i - '0'] = 1;
    }
  };
  for (int i = 0; i < input.size() - 1; i++) {
    for (int j = 0; j <= 9; j++) {
      for (int k = j; k <= 9; k++) {
        dp[i + 1][0][k] += dp[i][0][j];
      }
    }
    for (int j = 0; j <= 9; j++) {
      if (dp[i][1][j] == 0)
        continue;
      for (int k = j; k <= input[i + 1] - '0'; k++) {
        if (k != input[i + 1] - '0') {
          dp[i + 1][0][k] += dp[i][1][j];
        } else {
          dp[i + 1][1][k] += dp[i][1][j];
        }
      }
    }
  }
  lli sum = 0;
  for (int i = 0; i <= 9; i++) {
    sum += dp[input.size() - 1][0][i];
    sum += dp[input.size() - 1][1][i];
  }
  return sum;
}

int main() {
  cin >> tc;
  for (int t = 1; t <= tc; t++) {
    char c[30];
    lli num;
    string s;
    scanf(""%s"", c);
    sscanf(c, ""%lld"", &num);
    s = c;
    lli goal = ctdy(s);
    // cout << num << "" "";
    // cout << goal << endl;
    lli ub = num, lb = 0, m;
    while (ub - lb > 1) {
      m = (ub + lb) / 2;
      num = m;
      sprintf(c, ""%lld"", num);
      s = c;
      if (ctdy(s) != goal) {
        lb = m;
      } else {
        ub = m;
      }
    }
    // cout << ub << "" "" << lb << endl;
    printf(""Case #%d: %lld\n"", t, ub);
  }
}
",56
"// vudduu - codejam 2017 round 1 A
// Problem A
typedef long long LL;

int N, M;
vector<string> vs;

void solve() {
  cin >> N >> M;
  vs.resize(N);
  for (int i = (0), _i = (N); i < _i; ++i) {
    cin >> vs[i];
    char ch = '.';
    for (int j = (0), _j = (M); j < _j; ++j) {
      if (vs[i][j] != '?') {
        if (ch == '.') {
          for (int k = (0), _k = (j); k < _k; ++k)
            vs[i][k] = vs[i][j];
        }
        ch = vs[i][j];
      } else {
        if (ch != '.')
          vs[i][j] = ch;
      }
    }
  }
  if (vs[0][0] == '?') {
    for (int k = (0), _k = (N); k < _k; ++k) {
      if (vs[k][0] != '?') {
        for (int i = k - 1; i >= 0; i--) {
          for (int j = (0), _j = (M); j < _j; ++j) {
            vs[i][j] = vs[i + 1][j];
          }
        }
        break;
      }
    }
  }
  for (int i = (1), _i = (N); i < _i; ++i) {
    if (vs[i][0] == '?') {
      for (int j = (0), _j = (M); j < _j; ++j) {
        vs[i][j] = vs[i - 1][j];
      }
    }
  }
  for (int i = (0), _i = (N); i < _i; ++i) {
    cout << vs[i] << endl;
  }
}

int main() {
  int T;
  scanf(""%d"", &T);
  for (int cas = 1; cas <= T; cas++) {
    printf(""Case #%d:\n"", cas);
    solve();
  }
}
",59
"int main() {
  ios_base::sync_with_stdio(false);
  ifstream ifs(""c.in"");
  ofstream ofs(""c.out"");

  int t;
  ifs >> t;
  for (int test = 0; test < t; ++test) {
    long long n, k;
    ifs >> n >> k;
    map<long long, long long> m;
    m[n] = 1;
    long long cnt = 0, mx, mn;
    while (!m.empty()) {
      long long len, c;
      tie(len, c) = *m.rbegin();
      m.erase(len);
      mx = len / 2;
      mn = len - mx - 1;
      cnt += c;
      if (cnt >= k) {
        break;
      }
      if (mx > 0)
        m[mx] += c;
      if (mn > 0)
        m[mn] += c;
    }
    ofs << ""Case #"" << test + 1 << "": "" << mx << ' ' << mn << endl;
  }
  return 0;
}
",85
"long long n, k;

map<long long, long long> f;

void work() {
  scanf(""%lld%lld"", &n, &k);
  priority_queue<long long> q;
  while (!q.empty())
    q.pop();
  f.clear();
  q.push(n);
  f[n] = 1;
  while (!q.empty()) {
    long long x = q.top();
    // printf(""x=%lld "", x);
    q.pop();
    long long y = f[x];
    // printf(""y = %lld k = %lld\n"", y, k);
    if (y >= k) {
      printf(""%lld %lld\n"", x / 2, (x - 1) / 2);
      return;
    }
    k -= y;
    if (f[x / 2] == 0) {
      q.push(x / 2);
      // printf(""push %lld\n"", x/2);
    }
    f[x / 2] += y;
    if (f[(x - 1) / 2] == 0) {
      q.push((x - 1) / 2);
      // printf(""push %lld\n"", (x-1)/2);
    }
    f[(x - 1) / 2] += y;
  }
}

int main() {
  int TC;
  freopen(""C-small-1-attempt0.in"", ""r"", stdin);
  freopen(""C-small-1-attempt0.out"", ""w"", stdout);
  scanf(""%d"", &TC);
  for (int tc = 1; tc <= TC; ++tc) {
    printf(""Case #%d: "", tc);
    work();
  }
}
",90
"typedef long long i64d;

int main() {
  freopen(""A-small-attempt0.in"", ""r"", stdin);
  freopen(""A-small-attempt0.out"", ""w"", stdout);
  int cas;
  scanf(""%d"", &cas);
  for (int ca = 1; ca <= cas; ca++) {
    printf(""Case #%d:\n"", ca);
    int r, c;
    scanf(""%d %d"", &r, &c);
    char s[30][30];
    for (int i = 0; i < r; i++)
      scanf(""%s"", s[i]);
    for (int i = 0; i < r; i++) {
      int j = 0;
      int last = 0;
      char x = s[i][0];
      while (j < c) {
        while (s[i][j] == '?' && j < c)
          j++;
        if (j < c) {
          for (int k = last; k < j; k++)
            s[i][k] = s[i][j];
          x = s[i][j];
          j++;
          last = j;
        }
      }
      if (last < c) {
        for (int j = last; j < c; j++)
          s[i][j] = x;
      }
    }
    for (int i = 1; i < r; i++)
      if (s[i][0] == '?') // black line
      {
        for (int j = 0; j < c; j++)
          s[i][j] = s[i - 1][j];
      }
    for (int i = r - 1; i >= 0; i--)
      if (s[i][0] == '?') {
        for (int j = 0; j < c; j++)
          s[i][j] = s[i + 1][j];
      }
    for (int i = 0; i < r; i++)
      printf(""%s\n"", s[i]);
  }
  return 0;
}
",91
